ID,Name,Description,Tree_Is_Rooted,Tree_Type,Tree_Branch_Length_Unit,Media_ID,Source,Regions,Node_Metadata,Source_Comment
10426,10426,Niger-Congo: Dryer 2005,Yes,summary,,10426,wals[585-590],Africa,Alternative_Names;Comment;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 585-590. New York: Oxford University Press. ISBN 0199255911"
10428,10428,Border: Dryer 2005,Yes,summary,,10428,wals[585],Pacific,Alternative_Names;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 585. New York: Oxford University Press. ISBN 0199255911"
10434,10434,Hmong-Mien: Dryer 2005,Yes,summary,,10434,wals[605],Asia,Alternative_Names;Comment;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 605. New York: Oxford University Press. ISBN 0199255911"
10442,10442,Kwomtari-Baibai: Composite 2008,Yes,summary,,10442,,Pacific,Alternative_Names,Multiple sources Integrated by The LINGUIST List.
10444,10444,Left May: Composite 2008,Yes,summary,,10444,,Pacific,Alternative_Names,Multiple sources Integrated by The LINGUIST List.
10454,10454,Basque: Dryer 2005,Yes,summary,,10454,wals[595-596],Europe,Comment;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 595-596. New York: Oxford University Press. ISBN 0199255911"
10457,10457,Andamanese: Dryer 2005,Yes,summary,,10457,wals[606],Asia,Alternative_Names;Comment;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 606. New York: Oxford University Press. ISBN 0199255911"
10471,10471,Sepik: Dryer 2005,Yes,summary,,10471,wals[614],Pacific,Alternative_Names;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 614. New York: Oxford University Press. ISBN 0199255911"
10486,10486,Tai-Kadai: Dryer 2005,Yes,summary,,10486,wals[605],Asia,Alternative_Names;Comment;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 605. New York: Oxford University Press. ISBN 0199255911"
10487,10487,Marind: Dryer 2005,Yes,summary,,10487,wals[617],Pacific,Alternative_Names;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 617. New York: Oxford University Press. ISBN 0199255911"
10506,10506,Salivan: Composite 2008,Yes,summary,,10506,,South America,Alternative_Names,Multiple sources Integrated by The LINGUIST List.
10523,10523,West Papuan: Composite,Yes,summary,,10523,,Pacific,Alternative_Names;Status,Multiple sources Integrated by The LINGUIST List.
10529,10529,Yeniseian: Ethnologue 2005,Yes,summary,,10529,Ethnologue15,Asia,Alternative_Names;Geography;Status,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
10542,10542,Austronesian: Reid 1981,Yes,summary,,10542,,Pacific,Comment,"Reid, Lawrence Andrew. 1981. Austronesian High Order Subgrouping."
10547,10547,Austronesian: Dahl 1973,Yes,summary,,10547,,Pacific,Alternative_Names;Comment,"Dahl, Otto Christian. 1973. Proto-Austronesian. ISBN 9144097516"
10552,10552,Algic: Dryer 2005,Yes,summary,,10552,wals[624-625],North America,Alternative_Names;Comment;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 624-625. New York: Oxford University Press. ISBN 0199255911"
10555,10555,Cariban: Dryer 2005,Yes,summary,,10555,wals[639],South America,Alternative_Names;Comment;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 639. New York: Oxford University Press. ISBN 0199255911"
10558,10558,Eskimo-Aleut: Dryer 2005,Yes,summary,,10558,wals[623-624],North America,Alternative_Names;Comment;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 623-624. New York: Oxford University Press. ISBN 0199255911"
10573,10573,Salishan: Dryer 2005,Yes,summary,,10573,wals[628-629],North America,Alternative_Names;Comment;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 628-629. New York: Oxford University Press. ISBN 0199255911"
10576,10576,Wakashan: Dryer 2005,Yes,summary,,10576,wals[628],North America,Alternative_Names;Comment;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 628. New York: Oxford University Press. ISBN 0199255911"
10595,10595,Austronesian: Dryer 2005,Yes,summary,,10595,wals[606-611],Pacific,Alternative_Names;Comment;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 606-11. New York: Oxford University Press. ISBN 0199255911"
10613,10613,Barbacoan: Dryer 2005,Yes,summary,,10613,wals[635],South America,Alternative_Names;Comment;Geography;Other_Codes,"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 635. New York: Oxford University Press. ISBN 0199255911"
